Name	Hindi_lang
UMbundu	UMbundu
Umpila	उपमीला
Umaua	उमौआ
Una	ऊना
Ungarinjin	अनगरिनजाइन
Unami	उनामी
Ura	उरा
Urdu	उर्दू
Urhobo	उरहबो
Urim	उरीम
Urak Lawoi'	उराक लावोई '
Urum	उरुम
Urarina	उर्रीना
Urat	उरट
Uru	उरु
Usan	उसन
Usarufa	उसारूफा
Ute	उते
Uyghur	उइगर
Uzbek	उजबेक
Uzbek	उज़्बेक
Vafsi	वफसी
Vagla	वागला
Vai	वै
Vasavi	वासवी
Vata	वात
Vedda	वेद
Venda	वेन्दा
Veps	Veps
Vietnamese	वियतनामी
Vili	विली
Kariera	करियारा
Vlaamse Gebarentaal	वलामसे गेबरेंटल
Vinmavis	विन्माविस
Votic	वॉटिक
Wagiman	वागीमन
Wahgi	वाहगी
Wai Wai	वाई वाई
Wakhi	वाखी
Walman	वाल्मैन
Wambaya	वम्बया
Wangkumara	वंगकुमारा
Waorani	वोरानी
Wappo	वप्पो
Wari'	वारी ’
Washo	वाशो
Watjarri	वटजारी
Waunana	वुनना
Wayampi	वायम्पी
Wambon	वम्बन
Wanman	वानमान
Western Desert	वेस्टर्न डेजर्ट
Welsh	वेल्श
Wedau	वासौ
Welsh	वेल्श
Wembawemba	वेम्बवाम्
Weri	वारी
Wetan	वेटन
Wangkangurru	वांगकांगुरू
Waigali	वैगाली
Warrongo	वार्रंगो
Wichita	विचिता
Wikchamni	विकचमनी
Wintu	विंटू
Wirangu	विरंगु
Wiyot	Wiyot
Wagawaga	वागावागा
Wolof	वुल्फ
Wallisian	दीवार बनानेवाला
Walmatjari	वालमतारी
Wolio	वोलियो
Warluwara	वारलुवारा
Wolaytta	वोलयट्टा
West Makian	वेस्ट माकियन
Wambule	वम्बुले
Wik Munkan	विक मुनकन
Wik Ngathana	विक नगाथाना
Wan	वान
Winnebago	वाइनबागो
Wantoat	चाहत
Wobe	वाब
Wogamusin	वोगामुसिन
Woisika	वायसिका
Woleaian	वूलियन
Womo	वोमो
Worora	वरोरा
Wapishana	वैपिशना
Warao	वारो
Warrnambool	वारनंबूल
Wardaman	वार्डमैन
Warrgamay	वरमगमय
Warekena	वेयरनेका
Warlpiri	वरलपिरी
Warembori	गोदाम
Warndarang	वारंदरंग
Waropen	व्रोपेन
Waris	वारिस
Warumungu	वारुमुंगु
Warrwa	वार्रवा
Waray	वारय
Waskia	वास्किया
Wathawurrung	वाथवुरंग
Watam	वतम
Wu	वू
Waama	वामा
Woiwurrung	वाइवुरंग
Waray-Waray	वारय-वारय
Wyandot	व्यंदोत
Wayana	वायना
/Xam	/ ज़म
Xasonga	Xasonga
Kombio	कोम्बियो
Xhosa	Xhosa
Kanashi	कनाशी
Xokleng	Xokleng
!Xun	! ज़ून
Yagua	यागुआ
Yahgan	याहगान
Yaka	याका
Yale	येल
Yaminahua	यामिनाहुआ
Yana	याना
Yao	याओ
Yapese	यापीस
Yaqui	याकी
Yareba	यरेबा
Yavapai	यावपई
Yawa	यावा
Yay	वाह
Yazgulyam	यजगुलिम
Yamba	याम्बा
Yamphu	यम्फू
Yup'ik	युपिक
Yucuna	युकोना
Yucatec	युकातेक
Yiddish	येदिश
Yiddish	यिडिश
Yiddish	यिडिश
Yei	यय
Yemba	येम्बा
Yessan-Mayo	यासन-मेयो
Yeyi	येयी
Dii	दीि
Yaghnobi	यज्ञोनि
Yagaria	यगरिया
Nuosu	नुसू
Yidiny	यादि
Yil	यिल
Yimas	यामास
Yindjibarndi	यिंडजिबरेंडी
Yir Yoront	यार योरोंट
Yi	यी
Yuki	युकी
Yakoma	याकोमा
Yakan	यकान
Yukaghir	युकाघिर
Yukpa	युक्पा
Yakut	याकूत
Yulparija	यूलपरिजा
Yali	यली
Yelmek	येल्मेक
Yalarnnga	यलार्ंगना
Yiddish	यिडिश
Yamdena	यमदीना
Yami	यामी
Yemsa	यमेसा
Yupik	युपिक
Yingkarta	यिंगकर्त्ता
Yankuntjatjara	यानकुंजत्जरा
Yansi	यानसी
Yanyuwa	यानुवा
Yokuts	योकट्स
Yoruba	योरूबा
Yup'ik	युपिक
Yaqay	याके
Yuracare	यूराकेयर
Yaruro	यारो
Yuruti	युयुति
Yupik	युपिक
Yupik	युपिक
Yurt Tatar	यर्ट तातार
Yukaghir	युकाघिर
Yuchi	युची
Yugh	युघ
Yukulta	युकुलता
Yulu	युलु
Yup'ik	युपिक
Yurok	युरोक
Yupik	यूपिक
Yuwaalaraay	युवलाराय
Yawelmani	यवलमानी
Yawuru	यावरु
Yaygir	यायगीर
Yorta Yorta	योर्ता योर्टा
Yazva	यज़्वा
Beria	बेरिया
Zapotec	जैपोटेक
Zapotec	जैपोटेक
Zapotec	जैपोटेक
Zande	Zande
Zapotec	जैपोटेक
Zapotec	जैपोटेक
Zarma	ज़र्मा
Zayse	जायसी
Zazaki	ज़ज़की
Zoque	ज़ोक
Zenaga	झेनगा
Zoque	ज़ोक
Zhuang	ज़ुआंग
Zimakani	जिमाकनी
Zulu	ज़ुलु
Zapotec	जैपोटेक
Zaparo	जैपरो
Zoque	ज़ोक
Zoque	ज़ोक
Zoque	ज़ोक
Popoluca	पॉपोलुका
Zulu	ज़ुलु
Zapotec	जैपोटेक
Zapotec	जैपोटेक
Zulu	ज़ुलु
Zuni	ज़ूनी
Zapotec	ज़ापोटेक
Zapotec	ज़ापोटेक

